offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90301607,1/30/09,8:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38665,33.79217
90301665,1/30/09,17:30:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38772,33.78346
90302038,1/30/09,21:30:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Midtown,-84.36869,33.78174
90302060,1/30/09,19:45:00,720,Eve,Fri,AUTO THEFT,Midtown,-84.38494,33.77306
90310182,1/30/09,21:45:00,650,Morn,Fri,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90310214,1/31/09,0:30:00,640,Morn,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38632,33.77935
90310993,1/31/09,0:00:00,690,Morn,Sat,LARCENY-NON VEHICLE,Midtown,-84.3837,33.78595
90311167,1/31/09,14:30:00,630,Day,Sat,LARCENY-NON VEHICLE,Midtown,-84.38497,33.7727
90320121,2/1/09,0:50:00,710,Morn,Sun,AUTO THEFT,Midtown,-84.38449,33.77258
90320773,1/31/09,22:00:00,650,Morn,Sun,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90321180,2/1/09,15:00:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.37987,33.77992
90321275,2/1/09,18:29:00,660,Eve,Sun,LARCENY-NON VEHICLE,Midtown,-84.38752,33.7805
90321342,2/1/09,15:00:00,650,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.36724,33.77524
90321406,2/1/09,20:50:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.37596,33.77343
90321540,2/1/09,23:00:00,640,Morn,Sun,LARCENY-FROM VEHICLE,Midtown,-84.37869,33.77206
90330343,1/31/09,13:00:00,720,Unk,Unk,AUTO THEFT,Midtown,-84.38246,33.78083
90331119,2/2/09,8:00:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38341,33.78704
90331491,1/11/09,22:00:00,640,Morn,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38169,33.77346
90340405,2/2/09,22:30:00,650,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38978,33.79766
90340486,2/3/09,4:35:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38389,33.77798
90341010,2/3/09,13:10:00,420,Day,Tue,AGG ASSAULT,Midtown,-84.36561,33.77469
90341482,2/3/09,7:25:00,640,Day,Tue,LARCENY-FROM VEHICLE,Midtown,-84.3882,33.78937
90342151,2/3/09,22:45:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.37622,33.77846
90342179,2/3/09,19:50:00,720,Eve,Tue,AUTO THEFT,Midtown,-84.38765,33.77454
90351138,2/3/09,15:00:00,670,Unk,Wed,LARCENY-NON VEHICLE,Midtown,-84.38532,33.79209
90360686,2/5/09,2:00:00,670,Morn,Thu,LARCENY-NON VEHICLE,Midtown,-84.38515,33.77535
90360763,2/3/09,16:30:00,630,Eve,Tue,LARCENY-NON VEHICLE,Midtown,-84.38049,33.78206
90360813,2/4/09,22:00:00,512,Morn,Thu,BURGLARY-NONRES,Midtown,-84.36902,33.78031
90361225,1/30/09,14:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.388,33.7969
90371360,2/5/09,20:30:00,650,Morn,Fri,LARCENY-FROM VEHICLE,Midtown,-84.371,33.79392
90380533,2/6/09,23:00:00,511,Morn,Sat,BURGLARY-RESIDENCE,Midtown,-84.37351,33.7747
90380727,2/6/09,17:00:00,640,Eve,Fri,LARCENY-FROM VEHICLE,Midtown,-84.37196,33.77375
90380827,2/7/09,1:30:00,670,Morn,Sat,LARCENY-NON VEHICLE,Midtown,-84.37877,33.78476
90381105,2/7/09,2:00:00,720,Morn,Sat,AUTO THEFT,Midtown,-84.37591,33.77774
90381289,2/7/09,14:00:00,650,Day,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38402,33.78041
90390068,2/8/09,0:05:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Midtown,-84.3798,33.77414
90390514,2/7/09,23:35:00,720,Morn,Sun,AUTO THEFT,Midtown,-84.38103,33.78568
90391146,2/6/09,0:00:00,670,Unk,Fri,LARCENY-NON VEHICLE,Midtown,-84.38804,33.79478
90391264,2/8/09,15:00:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.37151,33.78119
90400256,2/8/09,21:00:00,640,Morn,Mon,LARCENY-FROM VEHICLE,Midtown,-84.3814,33.7862
90401929,2/9/09,19:00:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90401988,2/9/09,20:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38716,33.78864
90402001,2/9/09,20:00:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38153,33.78289
90410220,2/10/09,4:00:00,511,Morn,Tue,BURGLARY-RESIDENCE,Midtown,-84.38074,33.78038
90410411,2/9/09,19:00:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.3814,33.7862
90410467,2/9/09,11:00:00,640,Unk,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38021,33.77187
90410862,2/10/09,11:00:00,640,Day,Tue,LARCENY-FROM VEHICLE,Midtown,-84.37969,33.77734
90411022,2/7/09,16:30:00,710,Eve,Sat,AUTO THEFT,Midtown,-84.37151,33.78119
90421647,2/11/09,17:25:00,630,Eve,Wed,LARCENY-NON VEHICLE,Midtown,-84.38752,33.7805
90421743,2/11/09,14:00:00,511,Eve,Wed,BURGLARY-RESIDENCE,Midtown,-84.39164,33.79874
90422141,2/11/09,6:00:00,640,Unk,Wed,LARCENY-FROM VEHICLE,Midtown,-84.38637,33.788
90430545,2/11/09,23:00:00,640,Morn,Thu,LARCENY-FROM VEHICLE,Midtown,-84.37905,33.78187
90431071,2/12/09,10:00:00,720,Day,Thu,AUTO THEFT,Midtown,-84.37889,33.77724
